fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2020-09-01,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"9,2","0,0","6,5",23:59,"11,8",15:10,27,"2,5","8,6",06:40,,"831,0",Varias,"829,0",Varias
2020-09-02,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"9,6","0,0","5,1",03:10,"14,2",19:30,99,"0,6","3,3",Varias,,"834,0",Varias,"830,0",05
2020-09-03,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"15,2","0,0","11,9",00:50,"18,6",16:00,30,"0,3","3,3",03:00,,"838,0",Varias,"834,0",Varias
2020-09-04,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"19,0","0,0","15,7",06:30,"22,2",16:40,22,"4,2","13,1",08:00,,"838,0",Varias,"836,0",07
2020-09-05,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"12,2","5,1","8,3",08:00,"16,2",00:10,01,"0,6","3,6",23:20,,"837,0",Varias,"836,0",Varias
2020-09-06,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"7,2","1,7","5,2",23:00,"9,2",14:20,09,"0,8","3,6",23:30,,"836,0",Varias,"834,0",Varias
2020-09-07,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"6,4","0,0","3,5",08:00,"9,3",16:50,06,"1,7","5,6",07:30,,"838,0",23,"834,0",Varias
2020-09-08,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"10,8","0,0","6,2",00:50,"15,3",18:20,11,"2,2","8,6",06:50,,"837,0",Varias,"836,0",Varias
2020-09-09,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"13,4","0,0","11,1",23:59,"15,8",18:50,22,"2,2","10,0",04:40,,"837,0",Varias,"835,0",Varias
2020-09-10,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"13,6","0,0","11,1",00:00,"16,0",18:40,22,"0,3","8,3",08:20,,"837,0",Varias,"834,0",Varias
2020-09-11,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"14,6","0,0","11,3",04:20,"17,9",16:20,26,"0,8","2,8",08:00,,"834,0",Varias,"831,0",08
2020-09-12,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"16,4","0,0","14,5",05:40,"18,2",15:50,26,"1,9","6,1",07:00,,"837,0",Varias,"833,0",Varias
2020-09-13,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"18,6","0,0","15,2",01:50,"22,0",17:20,29,"2,5","13,1",15:00,,"837,0",Varias,"836,0",Varias
2020-09-14,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"15,2","6,6","10,8",21:30,"19,5",01:20,13,"2,5","13,9",06:40,,"837,0",00,"834,0",Varias
2020-09-15,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"13,2","0,0","10,3",01:20,"16,1",12:30,12,"3,3","12,5",00:30,,"835,0",Varias,"834,0",Varias
2020-09-16,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"15,0","0,8","12,7",06:00,"17,3",15:00,11,"1,1","7,5",09:40,,"835,0",Varias,"833,0",Varias
2020-09-17,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"13,4","7,1","11,1",03:50,"15,6",19:30,13,"1,4","14,7",Varias,,"833,0",Varias,"826,0",24
2020-09-18,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1722,"10,7","4,7","7,7",07:00,"13,7",00:00,25,"3,3","18,3",06:50,,"827,0",00,"824,0",Varias
