fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
1985-06-01,9001S,ALTO CAMPOO,CANTABRIA,1650,"10,8",,"7,5",,"14,0",,,,,,,,,,
1985-06-02,9001S,ALTO CAMPOO,CANTABRIA,1650,"11,0",,"7,5",,"14,5",,,,,,,,,,
1985-06-03,9001S,ALTO CAMPOO,CANTABRIA,1650,"8,8",,"6,5",,"11,0",,,,,,,,,,
1985-06-04,9001S,ALTO CAMPOO,CANTABRIA,1650,"10,0",,"7,0",,"13,0",,,,,,,,,,
1985-06-05,9001S,ALTO CAMPOO,CANTABRIA,1650,"9,5",,"8,0",,"11,0",,,,,,,,,,
1985-06-06,9001S,ALTO CAMPOO,CANTABRIA,1650,"7,8",,"6,0",,"9,5",,,,,,,,,,
1985-06-07,9001S,ALTO CAMPOO,CANTABRIA,1650,"6,5",,"5,0",,"8,0",,,,,,,,,,
1985-06-08,9001S,ALTO CAMPOO,CANTABRIA,1650,"5,5",,"4,0",,"7,0",,,,,,,,,,
1985-06-09,9001S,ALTO CAMPOO,CANTABRIA,1650,"3,5",,"0,5",,"6,5",,,,,,,,,,
1985-06-10,9001S,ALTO CAMPOO,CANTABRIA,1650,"6,9",,"4,3",,"9,5",,,,,,,,,,
1985-06-11,9001S,ALTO CAMPOO,CANTABRIA,1650,"11,0",,"6,0",,"16,0",,,,,,,,,,
1985-06-12,9001S,ALTO CAMPOO,CANTABRIA,1650,"14,8",,"12,0",,"17,5",,,,,,,,,,
1985-06-13,9001S,ALTO CAMPOO,CANTABRIA,1650,"14,0",,"10,0",,"18,0",,,,,,,,,,
1985-06-14,9001S,ALTO CAMPOO,CANTABRIA,1650,"8,5",,"7,0",,"10,0",,,,,,,,,,
1985-06-15,9001S,ALTO CAMPOO,CANTABRIA,1650,"8,0",,"6,0",,"10,0",,,,,,,,,,
1985-06-16,9001S,ALTO CAMPOO,CANTABRIA,1650,"7,8",,"7,5",,"8,0",,,,,,,,,,
1985-06-17,9001S,ALTO CAMPOO,CANTABRIA,1650,"9,2",,"4,5",,"14,0",,,,,,,,,,
1985-06-18,9001S,ALTO CAMPOO,CANTABRIA,1650,"11,5",,"8,0",,"15,0",,,,,,,,,,
1985-06-19,9001S,ALTO CAMPOO,CANTABRIA,1650,"7,5",,"4,0",,"11,0",,,,,,,,,,
1985-06-20,9001S,ALTO CAMPOO,CANTABRIA,1650,"8,8",,"2,0",,"15,5",,,,,,,,,,
1985-06-21,9001S,ALTO CAMPOO,CANTABRIA,1650,"14,0",,"12,0",,"16,0",,,,,,,,,,
1985-06-22,9001S,ALTO CAMPOO,CANTABRIA,1650,"6,0",,"4,0",,"8,0",,,,,,,,,,
1985-06-23,9001S,ALTO CAMPOO,CANTABRIA,1650,"10,2",,"6,0",,"14,5",,,,,,,,,,
1985-06-24,9001S,ALTO CAMPOO,CANTABRIA,1650,"6,8",,"2,5",,"11,0",,,,,,,,,,
1985-06-25,9001S,ALTO CAMPOO,CANTABRIA,1650,"14,0",,"9,0",,"19,0",,,,,,,,,,
1985-06-26,9001S,ALTO CAMPOO,CANTABRIA,1650,"15,5",,"12,0",,"19,0",,,,,,,,,,
1985-06-27,9001S,ALTO CAMPOO,CANTABRIA,1650,"9,5",,"6,0",,"13,0",,,,,,,,,,
1985-06-28,9001S,ALTO CAMPOO,CANTABRIA,1650,"8,8",,"4,5",,"13,0",,,,,,,,,,
1985-06-29,9001S,ALTO CAMPOO,CANTABRIA,1650,"15,0",,"9,0",,"21,0",,,,,,,,,,
1985-06-30,9001S,ALTO CAMPOO,CANTABRIA,1650,"15,5",,"9,0",,"22,0",,,,,,,,,,
1985-09-01,9001S,ALTO CAMPOO,CANTABRIA,1650,"15,5",,"10,0",,"21,0",,,,,,,,,,
1985-09-02,9001S,ALTO CAMPOO,CANTABRIA,1650,"16,5",,"10,0",,"23,0",,,,,,,,,,
1985-09-03,9001S,ALTO CAMPOO,CANTABRIA,1650,"15,2",,"8,0",,"22,5",,,,,,,,,,
1985-09-04,9001S,ALTO CAMPOO,CANTABRIA,1650,"13,8",,"5,5",,"22,0",,,,,,,,,,
1985-09-05,9001S,ALTO CAMPOO,CANTABRIA,1650,"15,5",,"11,0",,"20,0",,,,,,,,,,
1985-09-06,9001S,ALTO CAMPOO,CANTABRIA,1650,"14,5",,"10,5",,"18,5",,,,,,,,,,
1985-09-07,9001S,ALTO CAMPOO,CANTABRIA,1650,"18,5",,"13,0",,"24,0",,,,,,,,,,
1985-09-08,9001S,ALTO CAMPOO,CANTABRIA,1650,"19,0",,"15,5",,"22,5",,,,,,,,,,
1985-09-09,9001S,ALTO CAMPOO,CANTABRIA,1650,"18,8",,"15,5",,"22,0",,,,,,,,,,
1985-09-10,9001S,ALTO CAMPOO,CANTABRIA,1650,"17,2",,"13,5",,"21,0",,,,,,,,,,
1985-09-11,9001S,ALTO CAMPOO,CANTABRIA,1650,"20,8",,"16,5",,"25,0",,,,,,,,,,
1985-09-12,9001S,ALTO CAMPOO,CANTABRIA,1650,"18,5",,"13,0",,"24,0",,,,,,,,,,
1985-09-13,9001S,ALTO CAMPOO,CANTABRIA,1650,"16,0",,"13,0",,"19,0",,,,,,,,,,
1985-09-14,9001S,ALTO CAMPOO,CANTABRIA,1650,"14,0",,"9,0",,"19,0",,,,,,,,,,
1985-09-15,9001S,ALTO CAMPOO,CANTABRIA,1650,"14,2",,"11,0",,"17,5",,,,,,,,,,
1985-09-16,9001S,ALTO CAMPOO,CANTABRIA,1650,"8,5",,"3,5",,"13,5",,,,,,,,,,
1985-09-17,9001S,ALTO CAMPOO,CANTABRIA,1650,"15,8",,"9,5",,"22,0",,,,,,,,,,
1985-09-18,9001S,ALTO CAMPOO,CANTABRIA,1650,"18,5",,"15,0",,"22,0",,,,,,,,,,
1985-09-19,9001S,ALTO CAMPOO,CANTABRIA,1650,"16,8",,"12,0",,"21,5",,,,,,,,,,
1985-09-20,9001S,ALTO CAMPOO,CANTABRIA,1650,"16,2",,"11,0",,"21,5",,,,,,,,,,
1985-09-21,9001S,ALTO CAMPOO,CANTABRIA,1650,"17,8",,"13,0",,"22,5",,,,,,,,,,
1985-09-22,9001S,ALTO CAMPOO,CANTABRIA,1650,"16,5",,"12,5",,"20,5",,,,,,,,,,
1985-09-23,9001S,ALTO CAMPOO,CANTABRIA,1650,"17,0",,"13,0",,"21,0",,,,,,,,,,
1985-09-24,9001S,ALTO CAMPOO,CANTABRIA,1650,"15,8",,"12,5",,"19,0",,,,,,,,,,
1985-09-25,9001S,ALTO CAMPOO,CANTABRIA,1650,"13,8",,"9,0",,"18,5",,,,,,,,,,
1985-09-26,9001S,ALTO CAMPOO,CANTABRIA,1650,"14,2",,"8,5",,"20,0",,,,,,,,,,
1985-09-27,9001S,ALTO CAMPOO,CANTABRIA,1650,"15,8",,"12,0",,"19,5",,,,,,,,,,
1985-09-28,9001S,ALTO CAMPOO,CANTABRIA,1650,"16,2",,"13,0",,"19,5",,,,,,,,,,
1985-09-29,9001S,ALTO CAMPOO,CANTABRIA,1650,"16,5",,"12,0",,"21,0",,,,,,,,,,
1985-09-30,9001S,ALTO CAMPOO,CANTABRIA,1650,"16,8",,"12,5",,"21,0",,,,,,,,,,
1985-10-01,9001S,ALTO CAMPOO,CANTABRIA,1650,"14,2",,"12,0",,"16,5",,,,,,,,,,
1985-10-02,9001S,ALTO CAMPOO,CANTABRIA,1650,"14,8",,"12,5",,"17,0",,,,,,,,,,
1985-10-03,9001S,ALTO CAMPOO,CANTABRIA,1650,"11,5",,"9,0",,"14,0",,,,,,,,,,
1985-10-04,9001S,ALTO CAMPOO,CANTABRIA,1650,"9,8",,"8,5",,"11,0",,,,,,,,,,
1985-10-05,9001S,ALTO CAMPOO,CANTABRIA,1650,"9,0",,"4,0",,"14,0",,,,,,,,,,
1985-10-06,9001S,ALTO CAMPOO,CANTABRIA,1650,"9,2",,"5,5",,"13,0",,,,,,,,,,
1985-10-07,9001S,ALTO CAMPOO,CANTABRIA,1650,"10,8",,"5,5",,"16,0",,,,,,,,,,
1985-10-08,9001S,ALTO CAMPOO,CANTABRIA,1650,"7,0",,"3,5",,"10,5",,,,,,,,,,
1985-10-09,9001S,ALTO CAMPOO,CANTABRIA,1650,"8,5",,"5,0",,"12,0",,,,,,,,,,
1985-10-10,9001S,ALTO CAMPOO,CANTABRIA,1650,"10,5",,"4,5",,"16,5",,,,,,,,,,
1985-10-11,9001S,ALTO CAMPOO,CANTABRIA,1650,"12,0",,"4,0",,"20,0",,,,,,,,,,
1985-10-12,9001S,ALTO CAMPOO,CANTABRIA,1650,"15,5",,"11,5",,"19,5",,,,,,,,,,
1985-10-13,9001S,ALTO CAMPOO,CANTABRIA,1650,"16,0",,"12,0",,"20,0",,,,,,,,,,
1985-10-14,9001S,ALTO CAMPOO,CANTABRIA,1650,"15,5",,"12,0",,"19,0",,,,,,,,,,
1985-10-15,9001S,ALTO CAMPOO,CANTABRIA,1650,"14,2",,"10,5",,"18,0",,,,,,,,,,
1985-10-16,9001S,ALTO CAMPOO,CANTABRIA,1650,"12,5",,"9,5",,"15,5",,,,,,,,,,
