fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2021-10-25,9195C,ASTÚN- LA RACA,HUESCA,2276,,"0,0",,,,,16,"1,7","4,7",01:20,,,,,
2021-10-26,9195C,ASTÚN- LA RACA,HUESCA,2276,"3,6","0,0","0,3",04:50,"6,9",12:00,01,"1,7","6,4",04:40,,,,,
2021-10-27,9195C,ASTÚN- LA RACA,HUESCA,2276,"5,6","0,0","1,9",20:20,"9,4",10:10,10,"1,7","7,2",19:40,,,,,
2021-10-28,9195C,ASTÚN- LA RACA,HUESCA,2276,"2,1","2,2","-0,1",06:00,"4,3",13:40,14,"6,4","12,5",22:10,,,,,
2021-10-29,9195C,ASTÚN- LA RACA,HUESCA,2276,"1,3","40,2","-0,1",07:30,"2,7",19:00,10,"6,9","20,8",23:59,,,,,
2021-10-30,9195C,ASTÚN- LA RACA,HUESCA,2276,"4,0","3,8","1,9",00:10,"6,1",13:00,10,"4,4","18,6",01:30,,,,,
2021-10-31,9195C,ASTÚN- LA RACA,HUESCA,2276,"4,8","28,4","2,8",01:10,"6,9",17:00,24,"4,4","13,9",07:40,,,,,
2021-11-01,9195C,ASTÚN- LA RACA,HUESCA,2276,"-0,2","0,2","-3,9",18:00,"3,6",00:10,30,"4,4","10,8",04:40,,,,,
2021-11-02,9195C,ASTÚN- LA RACA,HUESCA,2276,"-2,4","7,2","-4,0",23:59,"-0,7",11:10,31,"4,7","14,7",02:30,,,,,
2021-11-03,9195C,ASTÚN- LA RACA,HUESCA,2276,"-4,9","1,8","-6,4",23:20,"-3,4",12:50,,,,,,,,,
2021-11-04,9195C,ASTÚN- LA RACA,HUESCA,2276,"-2,8","0,0","-5,9",00:10,"0,4",14:50,,,,,,,,,
2021-11-05,9195C,ASTÚN- LA RACA,HUESCA,2276,"-6,2","3,2","-7,6",23:59,"-4,7",00:20,07,"3,3","12,2",15:30,,,,,
2021-11-06,9195C,ASTÚN- LA RACA,HUESCA,2276,"-6,6","0,0","-8,5",02:40,"-4,7",12:50,06,"4,4","13,1",21:50,,,,,
2021-11-07,9195C,ASTÚN- LA RACA,HUESCA,2276,"-3,8","0,6","-6,3",01:00,"-1,4",Varias,34,"5,6","15,3",16:50,,,,,
2021-11-08,9195C,ASTÚN- LA RACA,HUESCA,2276,"-1,2","0,0","-3,3",05:00,"0,9",12:00,36,"5,6","18,9",10:00,,,,,
2021-11-09,9195C,ASTÚN- LA RACA,HUESCA,2276,"2,0","0,0","-2,5",04:20,"6,4",16:10,35,"4,7","13,6",00:10,,,,,
2021-11-10,9195C,ASTÚN- LA RACA,HUESCA,2276,"1,4","0,0","-0,4",16:40,"3,3",23:50,04,"4,2","9,4",17:20,,,,,
2021-11-11,9195C,ASTÚN- LA RACA,HUESCA,2276,"3,5","0,0","1,1",03:00,"5,9",14:30,06,"2,5","9,7",04:50,,,,,
2021-11-12,9195C,ASTÚN- LA RACA,HUESCA,2276,"3,0","0,0","0,1",Varias,"5,8",12:40,01,"3,6","9,2",20:30,,,,,
