fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2013-03-19,9776D,ELS TORMS,LLEIDA,488,,"5,2",,,,,,,,,,,,,
2013-03-20,9776D,ELS TORMS,LLEIDA,488,"9,2","0,0","5,3",Varias,"13,1",16:00,,,,,,"959,0",Varias,"942,7",02
2013-03-21,9776D,ELS TORMS,LLEIDA,488,"9,8","0,0","3,5",05:40,"16,0",15:10,,,,,,"959,0",Varias,"954,0",Varias
2013-03-22,9776D,ELS TORMS,LLEIDA,488,"13,3","0,0","5,9",06:30,"20,7",13:50,,,,,,"954,0",00,"948,0",Varias
2013-03-23,9776D,ELS TORMS,LLEIDA,488,"11,7","0,0","6,0",06:20,"17,4",14:30,,,,,,"950,0",00,"944,0",Varias
2013-03-24,9776D,ELS TORMS,LLEIDA,488,"10,0","0,0","4,2",05:10,"15,9",14:20,,,,,,"946,0",Varias,"942,0",Varias
2013-03-25,9776D,ELS TORMS,LLEIDA,488,"10,4","1,6","7,2",05:00,"13,7",13:20,,,,,,"949,0",10,"943,7",23
2013-03-26,9776D,ELS TORMS,LLEIDA,488,"10,9","2,4","6,9",05:00,"14,9",14:40,,,,,,"946,0",Varias,"944,0",Varias
2013-03-27,9776D,ELS TORMS,LLEIDA,488,"13,2","0,8","8,8",05:10,"17,6",15:00,,,,,,"947,0",Varias,"942,6",05
2013-03-28,9776D,ELS TORMS,LLEIDA,488,"13,9","1,2","10,5",Varias,"17,3",15:00,,,,,,"953,0",Varias,"945,2",04
2013-03-29,9776D,ELS TORMS,LLEIDA,488,"13,5","3,0","10,6",06:30,"16,4",14:00,,,,,,"952,0",Varias,"946,0",Varias
2013-03-30,9776D,ELS TORMS,LLEIDA,488,"11,9","0,0","8,8",23:59,"15,0",15:00,,,,,,"953,0",Varias,"946,0",Varias
2013-03-31,9776D,ELS TORMS,LLEIDA,488,"11,6",,"6,9",03:50,"16,3",16:40,,,,,,"952,0",00,"942,0",Varias
2013-08-22,9776D,ELS TORMS,LLEIDA,488,,"0,0",,,,,,,,,,,,,
2013-08-23,9776D,ELS TORMS,LLEIDA,488,"23,4","0,0","17,6",03:40,"29,2",14:00,,,,,,"958,0",Varias,"956,0",Varias
2013-08-24,9776D,ELS TORMS,LLEIDA,488,"22,4","0,0","16,3",23:50,"28,5",13:40,,,,,,"958,9",23,"956,0",Varias
2013-08-25,9776D,ELS TORMS,LLEIDA,488,"19,8","0,0","13,8",05:00,"25,7",16:40,,,,,,"958,0",Varias,"953,0",Varias
2013-08-26,9776D,ELS TORMS,LLEIDA,488,"20,4","0,0","15,6",04:40,"25,3",16:50,,,,,,"955,0",Varias,"953,0",Varias
2013-08-27,9776D,ELS TORMS,LLEIDA,488,"20,2","0,0","13,9",05:30,"26,4",15:30,,,,,,"957,7",24,"955,0",Varias
2013-08-28,9776D,ELS TORMS,LLEIDA,488,"18,3","0,0","15,1",23:20,"21,5",11:50,,,,,,"960,0",09,"957,0",00
2013-08-29,9776D,ELS TORMS,LLEIDA,488,"19,6","1,6","14,4",03:20,"24,9",13:10,,,,,,"962,0",10,"959,0",Varias
2013-08-30,9776D,ELS TORMS,LLEIDA,488,"20,8","1,2","15,8",03:40,"25,7",17:30,,,,,,"962,9",10,"960,0",Varias
2013-08-31,9776D,ELS TORMS,LLEIDA,488,"20,4",,"13,6",05:20,"27,3",15:50,,,,,,"964,0",Varias,"961,0",Varias
2013-09-26,9776D,ELS TORMS,LLEIDA,488,,"0,0",,,,,,,,,,,,,
2013-09-27,9776D,ELS TORMS,LLEIDA,488,"23,9","0,0","18,4",22:20,"29,4",12:50,,,,,,"956,0",Varias,"951,0",Varias
2013-09-28,9776D,ELS TORMS,LLEIDA,488,"21,4","0,0","16,7",Varias,"26,0",16:30,,,,,,"952,0",03,"948,0",Varias
2013-09-29,9776D,ELS TORMS,LLEIDA,488,"19,4","0,0","15,0",06:10,"23,7",15:30,,,,,,"951,0",23,"948,0",Varias
2013-09-30,9776D,ELS TORMS,LLEIDA,488,"20,6",,"15,9",05:40,"25,2",16:30,,,,,,"951,0",Varias,"949,0",Varias
2013-11-20,9776D,ELS TORMS,LLEIDA,488,,"0,0",,,,,,,,,,,,,
2013-11-21,9776D,ELS TORMS,LLEIDA,488,"5,6","0,0","3,6",00:10,"7,7",12:20,,,,,,"953,0",Varias,"944,2",24
2013-11-22,9776D,ELS TORMS,LLEIDA,488,"4,3","0,0","1,2",23:59,"7,4",14:30,,,,,,"949,3",24,"943,0",03
2013-11-23,9776D,ELS TORMS,LLEIDA,488,"5,2","0,0","0,5",01:50,"9,9",14:10,,,,,,"951,3",23,"948,2",04
2013-11-24,9776D,ELS TORMS,LLEIDA,488,"5,3","0,0","1,5",06:40,"9,1",14:40,,,,,,"958,0",Varias,"951,0",Varias
2013-11-25,9776D,ELS TORMS,LLEIDA,488,"5,0","0,0","1,2",07:00,"8,8",14:00,,,,,,"963,0",Varias,"958,0",Varias
2013-11-26,9776D,ELS TORMS,LLEIDA,488,"3,2","0,0","-0,2",07:00,"6,7",15:20,,,,,,"965,0",Varias,"962,0",Varias
2013-11-27,9776D,ELS TORMS,LLEIDA,488,"2,9","0,0","-1,4",07:20,"7,2",15:00,,,,,,"968,0",Varias,"962,9",05
2013-11-28,9776D,ELS TORMS,LLEIDA,488,"1,4","0,0","-3,1",07:00,"5,8",14:40,,,,,,"970,0",10,"967,0",Varias
2013-11-29,9776D,ELS TORMS,LLEIDA,488,"1,8","0,0","-1,9",06:20,"5,4",12:40,,,,,,"968,0",Varias,"964,0",Varias
2013-11-30,9776D,ELS TORMS,LLEIDA,488,"3,0",,"-1,6",23:40,"7,5",12:50,,,,,,"964,0",00,"952,0",Varias
2013-12-19,9776D,ELS TORMS,LLEIDA,488,,"8,0",,,,,,,,,,,,,
2013-12-20,9776D,ELS TORMS,LLEIDA,488,"7,1","0,0","3,6",22:50,"10,6",14:50,,,,,,"971,9",24,"953,0",Varias
2013-12-21,9776D,ELS TORMS,LLEIDA,488,"4,3","0,0","-0,1",07:00,"8,7",14:10,,,,,,"974,0",Varias,"971,1",15
2013-12-22,9776D,ELS TORMS,LLEIDA,488,"5,8","0,0","0,9",03:40,"10,8",15:40,,,,,,"971,4",00,"969,0",Varias
2013-12-23,9776D,ELS TORMS,LLEIDA,488,"7,4","0,0","1,9",02:00,"13,0",15:00,,,,,,"969,0",00,"960,0",24
2013-12-24,9776D,ELS TORMS,LLEIDA,488,"7,9","0,8","3,6",01:20,"12,2",11:50,,,,,,"960,0",Varias,"944,0",24
2013-12-25,9776D,ELS TORMS,LLEIDA,488,"8,3","3,2","4,3",23:59,"12,3",03:50,,,,,,"944,0",00,"936,0",Varias
2013-12-26,9776D,ELS TORMS,LLEIDA,488,"5,5","0,0","3,0",05:50,"8,0",14:40,,,,,,"954,8",22,"941,0",00
2013-12-27,9776D,ELS TORMS,LLEIDA,488,"10,0","0,0","5,6",07:00,"14,5",14:30,,,,,,"954,8",11,"951,0",24
2013-12-28,9776D,ELS TORMS,LLEIDA,488,"9,5","0,2","4,8",23:59,"14,2",09:20,,,,,,"960,0",Varias,"949,0",Varias
2013-12-29,9776D,ELS TORMS,LLEIDA,488,"5,3","0,0","2,0",23:59,"8,6",14:50,,,,,,"969,0",Varias,"960,0",00
2013-12-30,9776D,ELS TORMS,LLEIDA,488,"4,0","0,0","0,6",05:40,"7,5",11:30,,,,,,"969,0",00,"964,0",Varias
2013-12-31,9776D,ELS TORMS,LLEIDA,488,"4,8",,"0,4",06:30,"9,2",16:00,,,,,,"964,0",00,"958,0",15
2014-02-18,9776D,ELS TORMS,LLEIDA,488,,"0,0",,,,,,,,,,,,,
2014-02-19,9776D,ELS TORMS,LLEIDA,488,"9,4","0,0","4,7",08:00,"14,1",15:00,,,,,,,,,
2014-02-20,9776D,ELS TORMS,LLEIDA,488,"9,8","0,0","4,9",06:30,"14,7",15:30,,,,,,,,,
2014-02-21,9776D,ELS TORMS,LLEIDA,488,"7,3","0,0","3,8",23:59,"10,8",14:10,,,,,,,,,
2014-02-22,9776D,ELS TORMS,LLEIDA,488,"6,8","0,0","1,4",06:10,"12,1",15:40,,,,,,,,,
2014-02-23,9776D,ELS TORMS,LLEIDA,488,"8,8","0,0","2,5",06:50,"15,0",14:40,,,,,,,,,
2014-02-24,9776D,ELS TORMS,LLEIDA,488,"8,8","0,0","3,2",07:00,"14,5",13:50,,,,,,,,,
2014-02-25,9776D,ELS TORMS,LLEIDA,488,"9,0","1,2","5,3",06:20,"12,8",16:40,,,,,,,,,
2014-02-26,9776D,ELS TORMS,LLEIDA,488,"5,6","0,0","1,7",06:30,"9,5",16:20,,,,,,,,,
2014-02-27,9776D,ELS TORMS,LLEIDA,488,"4,2","0,0","0,8",04:50,"7,6",18:00,,,,,,,,,
2014-02-28,9776D,ELS TORMS,LLEIDA,488,"6,8",,"3,0",23:00,"10,5",10:40,,,,,,,,,
2014-03-19,9776D,ELS TORMS,LLEIDA,488,,"0,0",,,,,,,,,,,,,
2014-03-20,9776D,ELS TORMS,LLEIDA,488,"13,0","0,0","7,5",02:00,"18,4",14:10,,,,,,,,,
2014-03-21,9776D,ELS TORMS,LLEIDA,488,"11,8","0,4","5,3",06:40,"18,2",16:00,,,,,,,,,
2014-03-22,9776D,ELS TORMS,LLEIDA,488,"10,4","0,6","4,6",23:40,"16,3",12:50,,,,,,,,,
2014-03-23,9776D,ELS TORMS,LLEIDA,488,"7,0","0,0","3,1",06:20,"10,8",15:10,,,,,,,,,
2014-03-24,9776D,ELS TORMS,LLEIDA,488,"7,8","1,8","1,4",06:00,"14,3",14:10,,,,,,,,,
2014-03-25,9776D,ELS TORMS,LLEIDA,488,"6,6","4,0","3,1",23:59,"10,2",13:40,,,,,,,,,
2014-03-26,9776D,ELS TORMS,LLEIDA,488,"7,6","0,0","2,3",04:40,"12,9",15:20,,,,,,,,,
2014-03-27,9776D,ELS TORMS,LLEIDA,488,"7,7","0,0","1,7",05:50,"13,7",15:20,,,,,,,,,
2014-03-28,9776D,ELS TORMS,LLEIDA,488,"9,2","0,0","4,1",06:00,"14,3",13:50,,,,,,,,,
2014-03-29,9776D,ELS TORMS,LLEIDA,488,"11,8","0,0","8,3",04:30,"15,3",14:40,,,,,,,,,
2014-03-30,9776D,ELS TORMS,LLEIDA,488,"11,0","12,4","9,5",21:00,"12,5",14:00,,,,,,,,,
2014-03-31,9776D,ELS TORMS,LLEIDA,488,"14,0",,"8,8",06:00,"19,1",15:50,,,,,,,,,
2014-04-21,9776D,ELS TORMS,LLEIDA,488,,"12,8",,,,,,,,,,,,,
2014-04-22,9776D,ELS TORMS,LLEIDA,488,"14,4","0,0","9,6",05:20,"19,1",16:40,,,,,,,,,
2014-04-23,9776D,ELS TORMS,LLEIDA,488,"15,5","0,0","9,5",05:00,"21,5",17:30,,,,,,,,,
2014-04-24,9776D,ELS TORMS,LLEIDA,488,"14,7","20,8","9,4",23:59,"20,0",12:40,,,,,,,,,
2014-04-25,9776D,ELS TORMS,LLEIDA,488,"11,2","0,0","6,6",05:40,"15,7",15:40,,,,,,,,,
2014-04-26,9776D,ELS TORMS,LLEIDA,488,"13,8","0,6","8,9",04:50,"18,8",16:50,,,,,,,,,
2014-04-27,9776D,ELS TORMS,LLEIDA,488,"12,0","0,0","7,3",05:40,"16,7",16:40,,,,,,,,,
2014-04-28,9776D,ELS TORMS,LLEIDA,488,"13,7","0,0","9,0",05:40,"18,4",14:50,,,,,,,,,
2014-04-29,9776D,ELS TORMS,LLEIDA,488,"15,6","0,0","9,7",05:40,"21,5",16:00,,,,,,,,,
2014-04-30,9776D,ELS TORMS,LLEIDA,488,"16,2",,"11,9",05:20,"20,5",15:20,,,,,,,,,
2014-06-18,9776D,ELS TORMS,LLEIDA,488,,"0,0",,,,,,,,,,,,,
2014-06-19,9776D,ELS TORMS,LLEIDA,488,"20,0","0,0","13,5",02:10,"26,4",14:10,,,,,,,,,
2014-06-20,9776D,ELS TORMS,LLEIDA,488,"22,2","0,0","14,2",04:00,"30,2",12:20,,,,,,,,,
2014-06-21,9776D,ELS TORMS,LLEIDA,488,"24,0","0,0","16,9",23:59,"31,0",13:20,,,,,,,,,
2014-06-22,9776D,ELS TORMS,LLEIDA,488,"22,2","0,0","15,7",04:40,"28,7",15:10,,,,,,,,,
2014-06-25,9776D,ELS TORMS,LLEIDA,488,"19,9","0,0","14,2",02:40,"25,6",14:10,,,,,,,,,
2014-06-26,9776D,ELS TORMS,LLEIDA,488,"20,6","0,0","15,1",05:40,"26,0",17:00,,,,,,,,,
2014-06-27,9776D,ELS TORMS,LLEIDA,488,"21,7","0,0","15,0",05:10,"28,4",12:50,,,,,,,,,
2014-06-28,9776D,ELS TORMS,LLEIDA,488,"25,6","0,0","20,6",23:30,"30,7",12:20,,,,,,,,,
2014-06-29,9776D,ELS TORMS,LLEIDA,488,"19,3","0,0","14,9",07:00,"23,7",15:30,,,,,,,,,
2014-06-30,9776D,ELS TORMS,LLEIDA,488,"20,0",,"12,1",05:10,"27,8",14:10,,,,,,,,,
2014-08-19,9776D,ELS TORMS,LLEIDA,488,,"0,0",,,,,,,,,,,,,
2014-08-20,9776D,ELS TORMS,LLEIDA,488,"23,6","0,0","19,2",07:10,"28,1",13:50,,,,,,,,,
2014-08-21,9776D,ELS TORMS,LLEIDA,488,"21,1","0,0","16,5",07:50,"25,7",15:50,,,,,,,,,
2014-08-22,9776D,ELS TORMS,LLEIDA,488,"22,0","41,4","15,9",23:59,"28,1",12:30,,,,,,,,,
2014-08-23,9776D,ELS TORMS,LLEIDA,488,"19,4",,"12,8",05:50,"25,9",17:00,,,,,,,,,
2014-08-24,9776D,ELS TORMS,LLEIDA,488,"22,8","0,0","16,7",06:20,"28,8",15:40,,,,,,,,,
2014-08-25,9776D,ELS TORMS,LLEIDA,488,"24,6","0,0","17,2",05:00,"32,1",15:20,,,,,,,,,
2014-08-26,9776D,ELS TORMS,LLEIDA,488,"25,2","0,0","18,1",03:40,"32,3",17:00,,,,,,,,,
2014-08-27,9776D,ELS TORMS,LLEIDA,488,"26,0","0,0","19,8",23:59,"32,1",16:40,,,,,,,,,
2014-08-28,9776D,ELS TORMS,LLEIDA,488,"24,8","0,0","17,7",05:30,"31,9",12:40,,,,,,,,,
2014-08-29,9776D,ELS TORMS,LLEIDA,488,"24,3","0,0","19,3",04:40,"29,3",16:20,,,,,,,,,
2014-08-30,9776D,ELS TORMS,LLEIDA,488,"23,6","0,0","18,7",03:40,"28,5",13:00,,,,,,,,,
2014-08-31,9776D,ELS TORMS,LLEIDA,488,"23,4",,"16,9",05:00,"30,0",15:00,,,,,,,,,
2014-09-18,9776D,ELS TORMS,LLEIDA,488,"22,6","2,4","18,4",06:40,"26,7",15:00,,,,,,,,,
2014-09-19,9776D,ELS TORMS,LLEIDA,488,"21,0","0,0","15,3",05:50,"26,7",12:20,,,,,,,,,
2014-09-20,9776D,ELS TORMS,LLEIDA,488,"22,0","0,0","16,9",06:10,"27,0",15:20,,,,,,,,,
2014-09-21,9776D,ELS TORMS,LLEIDA,488,"21,8",,"16,4",09:20,"27,3",14:30,,,,,,,,,
2014-09-22,9776D,ELS TORMS,LLEIDA,488,,"5,2",,,,,,,,,,,,,
2014-09-23,9776D,ELS TORMS,LLEIDA,488,"18,8","0,0","15,3",05:00,"22,3",15:00,,,,,,,,,
2014-09-24,9776D,ELS TORMS,LLEIDA,488,"16,9","0,0","13,9",23:59,"19,9",16:00,,,,,,,,,
2014-09-25,9776D,ELS TORMS,LLEIDA,488,"15,7","0,0","10,7",06:10,"20,7",16:00,,,,,,,,,
2014-09-26,9776D,ELS TORMS,LLEIDA,488,"16,7","0,0","10,5",06:10,"22,9",16:00,,,,,,,,,
2014-09-27,9776D,ELS TORMS,LLEIDA,488,"17,8","0,2","11,4",05:40,"24,1",15:00,,,,,,,,,
2014-09-28,9776D,ELS TORMS,LLEIDA,488,"17,3","24,2","15,4",23:59,"19,2",08:50,,,,,,,,,
2014-09-29,9776D,ELS TORMS,LLEIDA,488,"18,1","0,0","13,5",05:20,"22,7",15:30,,,,,,,,,
2014-09-30,9776D,ELS TORMS,LLEIDA,488,"18,2",,"15,2",20:20,"21,1",16:40,,,,,,,,,
2014-10-21,9776D,ELS TORMS,LLEIDA,488,,"0,0",,,,,,,,,,,,,
